,AA,AC,BB,BD,BG,BI,BJ,BL,BS,CC,CN,CQ,CS,CW,FL,GA,GH,GZ,HW,IN,IR,JJ,JK,KK,LA,LC,LP,MB,MK,MM,MN,MO,MR,NC,NJ,OH,OK,PA,PD,PL,PR,RM,RT,SB,SG,SH,SN,SO,SR,SS,SY,TR,TX,UC,UK,VW,XA
AA,0.206885085,-0.036782997,0.161921158,0.206566008,-0.039590439,0.128172771,-0.067002438,0.122110923,-0.085943471,0.151476548,0.110509967,-0.120550969,-0.014512292,0.161721659,0.161156102,0.151282652,0.179099865,0.037144485,0.12591361,0.162187825,0.114884263,-0.09467127,-0.008163719,0.097922026,0.158754038,0.155779015,-0.034203333,0.131053289,0.035553686,0.098763451,0.163728283,0.069444035,0.222870187,0.112981284,0.025584995,0.168307476,0.178063726,0.164700444,-0.16228778,0.072230743,0.160294169,0.079366149,-0.003861947,-0.015397555,0.031684936,-0.021448362,0.162014804,-0.058384173,-0.082473576,0.094379381,-0.069154111,0.287756871,0.15503048,0.013064651,0.03182334,0.08019412,-0.03492314
AC,,0.057638983,-0.042477561,-0.031229271,-0.134279982,-0.06655081,-0.178637371,-0.062687192,-0.202759713,-0.053902347,-0.096234363,-0.205904546,-0.148587842,-0.041180726,-0.04531189,-0.055336176,-0.0157795,-0.115872814,-0.072058102,-0.041855489,-0.063678819,-0.202474072,-0.131169581,-0.103227949,-0.047259381,-0.045185713,-0.127862892,-0.063894982,-0.107952437,-0.105228848,-0.044683397,-0.096942066,0.023174814,-0.070098036,-0.118571172,-0.040388107,-0.026786764,-0.048555194,-0.229629036,-0.060867697,-0.042675772,-0.079069948,-0.137784658,-0.151886394,-0.117819754,-0.146907855,-0.025750789,-0.175995671,-0.185052171,-0.109930108,-0.181189902,0.123235085,-0.047851928,-0.12616346,-0.122303195,-0.130790539,-0.163341789
BB,,,0.516684344,0.157551892,-0.041011324,0.115593623,-0.073526874,0.106932787,-0.095490162,0.141638696,0.0913953,-0.12149792,-0.026260628,0.157238954,0.156524442,0.141447519,0.276332392,0.027620142,0.125775696,0.152891668,0.095023781,-0.103296732,-0.010469908,0.076756244,0.149842444,0.143437499,-0.034064642,0.13535868,0.02574221,0.07802977,0.151069862,0.051489885,0.210256258,0.108688141,0.008341002,0.16619044,0.16741653,0.155443627,-0.168087174,0.075105679,0.151931591,0.05932048,-0.010145623,-0.012246322,0.016504674,-0.029964149,0.168198516,-0.072345768,-0.095002303,0.072050935,-0.076699597,0.273811205,0.147321257,-0.002674482,0.020082242,0.045162842,-0.048173822
BD,,,,0.228233481,-0.037466921,0.130589986,-0.061300084,0.124705043,-0.078520646,0.150440736,0.108169202,-0.110793104,-0.010558054,0.159868243,0.159655515,0.15133659,0.176445897,0.037004056,0.12545732,0.162292471,0.118257466,-0.087011405,-0.00640172,0.101527198,0.158777082,0.153456182,-0.026814142,0.128294491,0.035645206,0.101502457,0.159689211,0.072028402,0.224431051,0.118953678,0.030061627,0.164300915,0.17967861,0.158745532,-0.158300234,0.072805583,0.156397059,0.077817287,-0.004542824,-0.008636059,0.033553933,-0.01662391,0.161097154,-0.051516804,-0.0777515,0.094310987,-0.066839151,0.293037715,0.157267028,0.014050921,0.026718461,0.083535221,-0.036602698
BG,,,,,-0.033914914,-0.068017374,-0.165498165,-0.063526797,-0.19011448,-0.053490325,-0.094527018,-0.19612556,-0.138363158,-0.042243895,-0.045600107,-0.056762582,-0.011489179,-0.110815984,-0.072295959,-0.044003686,-0.068180866,-0.190997923,-0.116245292,-0.104126891,-0.041730948,-0.043345382,-0.107543502,-0.065578097,-0.103572763,-0.104387505,-0.044405035,-0.0837086,0.016577587,-0.067271518,-0.114409378,-0.036245432,-0.027405585,-0.052190157,-0.212764513,-0.037331175,-0.045654107,-0.077419486,-0.125132882,-0.128479443,-0.117387202,-0.1368273,-0.024071906,-0.163884283,-0.173408114,-0.109601079,-0.166545162,0.125512792,-0.049588103,-0.116509158,-0.111025093,-0.130153132,-0.151372976
BI,,,,,,0.205909249,-0.091642963,0.088397847,-0.107797512,0.110483468,0.059369798,-0.14168277,-0.049563301,0.121124346,0.118502848,0.11186436,0.135568259,0.004586508,0.086026004,0.124058721,0.07325349,-0.115839077,-0.0389699,0.048267457,0.122369063,0.115837205,-0.064038518,0.09695193,0.00072019,0.047713125,0.121785042,0.037720715,0.181021717,0.078408832,-0.002955318,0.128022651,0.140959352,0.118763176,-0.191403362,0.036995694,0.125498459,0.045827648,-0.03211484,-0.041827109,-0.001254802,-0.045696677,0.122552164,-0.078188345,-0.110012427,0.043302413,-0.095336259,0.247147004,0.115769526,-0.016256993,-0.000405362,0.017389937,-0.068602274
BJ,,,,,,,-0.004528841,-0.076599898,-0.134078418,-0.086383056,-0.125956416,-0.138579668,-0.116313728,-0.073281411,-0.076185095,-0.084551252,-0.039071193,-0.088261417,-0.098717662,-0.07319349,-0.074053787,-0.142992854,-0.158460557,-0.140664521,-0.079338925,-0.072773187,-0.159490439,-0.099315954,-0.12963311,-0.135758957,-0.076460595,-0.057192291,-0.005019254,-0.080720512,-0.079171773,-0.072386089,-0.05633821,-0.071609132,-0.242290073,-0.07236556,-0.07636059,-0.037570013,-0.054025825,-0.173371412,-0.138106939,-0.115891134,-0.064807357,-0.114565326,-0.202851274,-0.136374956,-0.069472406,0.146721022,-0.08613794,-0.049659421,-0.056345591,-0.17141752,-0.09409966
BL,,,,,,,,0.205759229,-0.095371796,0.107728554,0.057557745,-0.136684275,-0.042224819,0.12235381,0.11744436,0.114096532,0.136815021,0.010210182,0.084665027,0.12440513,0.090149786,-0.103290128,-0.03760281,0.043772606,0.119302295,0.120142923,-0.060382455,0.082951037,0.002694058,0.047918921,0.122312201,0.090037963,0.182456036,0.077949087,0.00362412,0.129791602,0.135741791,0.121155814,-0.182400309,0.042213746,0.122911556,0.073034199,-0.004323655,-0.046487619,-0.003017476,-0.047004083,0.117164649,-0.069779353,-0.103998158,0.040875465,-0.07572856,0.270062661,0.114337967,0.015724733,0.034278504,0.015195366,-0.056667075
BS,,,,,,,,,0.246073214,-0.108953612,-0.150782474,-0.168569615,-0.145665613,-0.097527354,-0.104228041,-0.108835614,-0.064217386,-0.12085399,-0.121154333,-0.099176793,-0.088665772,0.185902336,-0.180140841,-0.163131924,-0.104577558,-0.101198139,-0.179087056,-0.117023107,-0.154062583,-0.156078592,-0.098008814,-0.079707028,-0.02628864,-0.114848002,-0.119765691,-0.095538192,-0.084840246,-0.108366463,-0.252294076,-0.089650631,-0.098656996,-0.056286459,-0.080049163,-0.186814824,-0.15896735,-0.137381448,-0.078208363,0.222369855,-0.217191399,-0.165881071,-0.119790371,0.125151212,-0.104522658,-0.082717485,-0.080927454,-0.191189939,-0.136093302
CC,,,,,,,,,,0.153955571,0.090321048,-0.139550214,-0.037944802,0.153280933,0.15409956,0.142326729,0.157695428,0.018164296,0.112534277,0.147436188,0.094052172,-0.113742651,-0.02780538,0.080602523,0.153768772,0.147170462,-0.048565459,0.114722734,0.018506943,0.085408675,0.154497004,0.045736189,0.201988573,0.108163845,0.008741206,0.194501259,0.170895544,0.143452936,-0.184987641,0.052460227,0.149670466,0.056716055,-0.02524148,-0.035473587,0.014849898,-0.040596909,0.150569939,-0.080814465,-0.09957299,0.079542461,-0.090245959,0.260454998,0.153179783,-0.01054503,0.006060391,0.047581264,-0.05979093
CN,,,,,,,,,,,0.096426822,-0.176983658,-0.073377756,0.097716434,0.099485651,0.088409809,0.112528532,-0.021609708,0.059300626,0.099388488,0.042962444,-0.159167401,-0.063612367,0.057194059,0.116179279,0.090339185,-0.088561923,0.059872481,-0.025137488,0.058581534,0.099701446,-0.000724086,0.150020167,0.048282178,-0.036736583,0.105892232,0.108768824,0.094357667,-0.218351875,0.012008597,0.09487501,0.008023975,-0.071533991,-0.080339262,-0.030257028,-0.081285067,0.101127239,-0.122627092,-0.139164732,0.074262517,-0.12949305,0.211023502,0.090901389,-0.057471062,-0.04454256,0.043655017,-0.096952964
CQ,,,,,,,,,,,,-0.058605828,-0.133147886,-0.127527892,-0.133844221,-0.141400911,-0.091978208,-0.13692252,-0.149017122,-0.133656274,-0.13033153,-0.175945045,-0.19271956,-0.18745812,-0.137198245,-0.125874404,-0.183485439,-0.144505526,-0.169445636,-0.182756635,-0.130743348,-0.122914062,-0.06148431,-0.132472919,-0.124028389,-0.129462993,-0.114268418,-0.136775488,-0.258758992,-0.108068043,-0.131794863,-0.110905787,-0.132468114,-0.203279878,-0.172024237,-0.116300662,-0.107632057,-0.149754616,-0.229034976,-0.189156121,-0.141134163,0.082296945,-0.136821248,-0.126445543,-0.13491193,-0.219809953,-0.127250573
CS,,,,,,,,,,,,,0.035104559,-0.017756129,-0.026768546,-0.029273519,0.003119617,-0.078299882,-0.044317032,-0.023059301,-0.042601018,-0.152361699,-0.124227439,-0.085724814,-0.024255252,-0.021660048,-0.137765233,-0.041244192,-0.097809601,-0.082157203,-0.026665535,-0.064061071,0.035879485,-0.03975479,-0.071466312,-0.014096262,-0.007276126,-0.028981089,-0.228137077,-0.045805229,-0.025526365,-0.041986737,-0.085006949,-0.142858908,-0.103723026,-0.080853477,-0.006897247,-0.121661248,-0.178729013,-0.092031083,-0.119747514,0.158798714,-0.029533397,-0.075959118,-0.079982282,-0.106128178,-0.098811512
CW,,,,,,,,,,,,,,0.226927927,0.171015996,0.161011503,0.172108875,0.03030202,0.130626014,0.168373213,0.106543767,-0.105756947,-0.010717764,0.084397604,0.168943186,0.157887587,-0.039113375,0.130434632,0.02190687,0.085801703,0.171755085,0.063304203,0.218892966,0.123884085,0.022013663,0.192454927,0.182741452,0.16858042,-0.171131245,0.064703374,0.165131196,0.071727344,-0.008366162,-0.026118135,0.022656386,-0.027702022,0.160989809,-0.0702383,-0.09297192,0.080459886,-0.079217062,0.272626234,0.1743398,0.002986447,0.016381932,0.057617981,-0.045841992
FL,,,,,,,,,,,,,,,0.197553188,0.158833924,0.17792432,0.029531934,0.134229242,0.167017511,0.101664784,-0.10889356,-0.014654111,0.084944023,0.167852822,0.156904241,-0.041013287,0.126365013,0.02323873,0.086050601,0.170676601,0.061048312,0.212587863,0.124643785,0.017159543,0.174277151,0.181016237,0.165698144,-0.177339002,0.06227477,0.162275705,0.066350626,-0.017596562,-0.025290614,0.022942211,-0.034617952,0.168315062,-0.075880009,-0.091256171,0.080783845,-0.080567632,0.270049043,0.162146277,-0.000764142,0.013140918,0.057051749,-0.043747897
