,PRE,IRA,CHN,ETP,UKR,COH,NDL,WST,EST,WLD
,Stage I,Stage II,Stage II,Stage III,Stage III,Stage III,Stage III,Stage IV,Final,Final
"Addis Ababa, Ethiopia",,,,v,,,,,,v
"Bandung, Indonesia",v,v,v,v,v,v,v,v,v,×
"Bijlmer, Netherlands",,,,,,,v,v,,v
"Busan, Korea",v,v,v,v,v,v,v,v,v,×
"Chongqing, China",,,v,,,,,,v,×
"Crimea, Ukraine",,,,,v,,,v,,v
"Raleigh, USA",,,,,,v,,v,,v
"Tehran, Iran",,v,,v,v,v,v,v,v,v
"Vijayawada, India",v,v,v,v,v,v,v,×,v,v
,,,,,,,,,,
"“v” means the individuals in the sampling site were included in the observed site frequency spectrum, whereas “×” means only demographic parameters were used to represent the individuals in the sampling site.",,,,,,,,,,
